Sweep,Variation,K,Directional,Topo,PCA,Intrinsic Dimension,F1 Score
"Grid: K=1, Dir=F, Topo=None",Base,1,False,None,False,7.521798552748392,0.1923333333333333
"Grid: K=1, Dir=F, Topo=None",PCA,1,False,None,True,7.12089321836934,0.172
"Grid: K=1, Dir=F, Topo=early",Base,1,False,early,False,7.555715790420713,0.2553333333333333
"Grid: K=1, Dir=F, Topo=early",PCA,1,False,early,True,7.155708800893282,0.178
"Grid: K=1, Dir=F, Topo=late",Base,1,False,late,False,7.547925278115338,0.244
"Grid: K=1, Dir=F, Topo=late",PCA,1,False,late,True,7.14902536796695,0.231
"Grid: K=1, Dir=T, Topo=None",Base,1,True,None,False,7.8251089040827955,0.2463333333333333
"Grid: K=1, Dir=T, Topo=None",PCA,1,True,None,True,7.536304686373658,0.166
"Grid: K=1, Dir=T, Topo=early",Base,1,True,early,False,7.815058453207384,0.2053333333333333
"Grid: K=1, Dir=T, Topo=early",PCA,1,True,early,True,7.508043324428709,0.2113333333333333
"Grid: K=1, Dir=T, Topo=late",Base,1,True,late,False,7.820117215709684,0.219
"Grid: K=1, Dir=T, Topo=late",PCA,1,True,late,True,7.522510839620968,0.1916666666666666
"Grid: K=2, Dir=F, Topo=None",Base,2,False,None,False,8.07247766597373,0.2153333333333333
"Grid: K=2, Dir=F, Topo=None",PCA,2,False,None,True,7.430928646122562,0.2146666666666666
"Grid: K=2, Dir=F, Topo=early",Base,2,False,early,False,8.057584446390793,0.2423333333333333
"Grid: K=2, Dir=F, Topo=early",PCA,2,False,early,True,7.4168567374491605,0.2096666666666666
"Grid: K=2, Dir=F, Topo=late",Base,2,False,late,False,8.069639605035396,0.215
"Grid: K=2, Dir=F, Topo=late",PCA,2,False,late,True,7.4478772288094355,0.2279999999999999
"Grid: K=2, Dir=T, Topo=None",Base,2,True,None,False,7.863749799128948,0.2266666666666666
"Grid: K=2, Dir=T, Topo=None",PCA,2,True,None,True,7.210990476294225,0.2063333333333333
"Grid: K=2, Dir=T, Topo=early",Base,2,True,early,False,7.817814078854149,0.2196666666666666
"Grid: K=2, Dir=T, Topo=early",PCA,2,True,early,True,7.182988239882509,0.2096666666666666
"Grid: K=2, Dir=T, Topo=late",Base,2,True,late,False,7.853985959254031,0.2473333333333333
"Grid: K=2, Dir=T, Topo=late",PCA,2,True,late,True,7.209586334841883,0.2063333333333333
"Grid: K=3, Dir=F, Topo=None",Base,3,False,None,False,7.838583940050511,0.181
"Grid: K=3, Dir=F, Topo=None",PCA,3,False,None,True,7.060443595340277,0.2536666666666666
"Grid: K=3, Dir=F, Topo=early",Base,3,False,early,False,7.808367666260549,0.248
"Grid: K=3, Dir=F, Topo=early",PCA,3,False,early,True,7.043014535363393,0.2289999999999999
"Grid: K=3, Dir=F, Topo=late",Base,3,False,late,False,7.827349928414358,0.2516666666666666
"Grid: K=3, Dir=F, Topo=late",PCA,3,False,late,True,7.076818678411378,0.2009999999999999
"Grid: K=3, Dir=T, Topo=None",Base,3,True,None,False,7.328047538463288,0.218
"Grid: K=3, Dir=T, Topo=None",PCA,3,True,None,True,6.592746005069703,0.2703333333333333
"Grid: K=3, Dir=T, Topo=early",Base,3,True,early,False,7.272714237869064,0.2373333333333333
"Grid: K=3, Dir=T, Topo=early",PCA,3,True,early,True,6.565135307553857,0.2029999999999999
"Grid: K=3, Dir=T, Topo=late",Base,3,True,late,False,7.318821023637947,0.1929999999999999
"Grid: K=3, Dir=T, Topo=late",PCA,3,True,late,True,6.593326584596937,0.263
