tau,label,pca1,pca2
1,0,2.053721,1.75291
1,0,0.86835897,1.7949499
1,0,-1.7524931,-1.8699665
1,0,-1.8294103,-2.0927382
1,0,28.011116,-5.6572323
1,0,-1.43606,-1.2171427
1,0,-1.7037055,-1.5497396
1,0,23.031551,-2.7511733
1,0,0.14685762,-0.5904744
1,0,-1.307132,-1.8426801
1,0,-0.09527171,-2.2251604
1,0,0.5547832,12.156005
1,0,-1.0143607,1.2832878
1,0,-0.37869543,-0.26605725
1,0,-0.68694115,-2.025095
1,0,-1.2334942,-1.712279
1,0,1.9191462,1.9439924
1,0,29.086426,-5.6590605
1,0,-1.7912681,-1.4891891
1,0,-1.1145667,-1.5931727
1,0,-1.1595758,-1.5189679
1,0,-1.3363116,-0.5755249
1,0,-1.4380631,-0.691712
1,0,-1.5472808,-0.74565613
1,0,-0.6990709,-1.5272896
1,0,-0.07567012,-0.26587102
1,0,1.3465801,22.41001
1,0,-1.7775123,-1.1780632
1,0,-1.1825513,-1.688462
1,0,-0.67782974,5.1249785
1,0,-1.2686397,-1.3758124
1,0,-1.2808987,-1.8035213
1,0,-0.4284503,-2.8709028
1,0,-1.195617,-0.19444981
1,0,-0.89387107,0.90020955
1,0,-1.6392162,-1.9867549
1,0,2.272499,7.322065
1,0,25.740644,-5.244956
1,0,31.90265,-7.4276495
1,0,-1.2276665,-1.6597686
1,0,-0.82454944,-1.7145113
1,0,-1.2179668,-0.82208484
1,0,-0.86741596,-2.5089705
1,0,-1.4906949,-1.3012505
1,0,32.976215,10.711962
1,0,1.2742611,22.40348
1,0,-1.3452201,0.17881963
1,0,1.5111393,-2.5805898
1,0,-2.1460521,-0.413602
1,0,-1.123296,1.1083996
1,0,-1.5596386,-1.3273433
1,0,-0.7433541,1.0248221
1,0,-1.6665808,-0.93122256
1,0,-2.28547,-0.25125787
1,0,27.894188,-3.0082712
1,0,-0.35689157,-1.4648266
1,0,0.24786258,5.482063
1,0,1.1877471,14.679084
1,0,31.968924,-7.5301485
1,0,-1.222682,-1.6355636
1,0,1.318513,22.375816
1,0,2.5705137,54.791027
