tau,label,tsne1,tsne2
1,0,29.046644,9.478285
1,0,29.088411,9.199859
1,0,-0.23613715,-59.61107
1,0,-14.657294,-84.32253
1,0,80.52956,11.71083
1,0,68.519966,-27.594933
1,0,-0.920376,-66.57411
1,0,75.16746,14.705625
1,0,1.944087,1.6899359
1,0,66.562836,-22.689924
1,0,38.465084,1.0571678
1,0,61.31589,38.032288
1,0,45.7467,42.850674
1,0,-12.591502,68.50346
1,0,65.43183,-11.737421
1,0,25.058245,-21.690376
1,0,29.080074,9.293269
1,0,79.52228,14.737285
1,0,64.83629,-36.44303
1,0,59.24607,-24.490742
1,0,59.353897,-24.046358
1,0,-8.809989,32.954704
1,0,-7.1257453,24.011642
1,0,-33.58871,40.324238
1,0,26.551395,10.829948
1,0,28.53223,12.361494
1,0,0.58642507,99.44532
1,0,68.02258,-42.437645
1,0,26.347483,-18.37317
1,0,39.69399,38.36209
1,0,67.29058,-25.355833
1,0,60.763947,-48.47836
1,0,39.187866,-2.801974
1,0,4.820558,64.02258
1,0,24.570446,36.35873
1,0,-43.172085,-45.936104
1,0,-25.591038,-2.4803522
1,0,79.93786,11.170338
1,0,86.21516,12.451215
1,0,57.898483,-44.28422
1,0,47.494785,-0.4983103
1,0,-10.042296,-15.228075
1,0,48.015053,-1.463893
1,0,68.91758,-27.609459
1,0,80.59844,19.586569
1,0,1.2817246,99.53526
1,0,-25.426504,-2.7724957
1,0,42.416965,-1.5828439
1,0,-62.615463,-26.692965
1,0,-30.339857,9.414713
1,0,-42.849686,-7.8658614
1,0,37.81843,-11.533891
1,0,-12.2649145,8.360631
1,0,-65.14266,-25.510567
1,0,76.62052,15.514984
1,0,4.13639,-15.451215
1,0,47.730824,21.94078
1,0,50.566914,35.98653
1,0,86.48695,11.762498
1,0,59.46327,-22.955751
1,0,0.136726,99.93021
1,0,21.994036,87.65142
1,0,21.528198,-7.594658
1,0,52.574883,3.3021562
1,0,81.1838,17.718092
1,0,45.568745,6.540406
1,0,35.694496,-9.947564
1,0,3.932108,-13.1593275
1,0,58.404114,-11.7852545
1,0,60.238823,-39.62651
1,0,39.572044,-1.7636163
1,0,65.77371,-43.593834
1,0,46.074142,6.6970067
1,0,79.770805,16.066048
1,0,-4.8764195,19.969492
1,0,6.2311015,26.433245
1,0,77.99144,13.214425
1,0,45.064934,43.14406
1,0,41.272026,37.572514
1,0,74.07645,12.749014
1,0,91.90986,-8.165959
1,0,57.914593,34.090656
1,0,-7.316405,-4.4744735
1,0,37.836018,6.997737
1,0,21.18593,87.78727
1,0,21.445263,87.793724
1,0,-65.22284,-25.757542
1,0,60.553333,-48.72117
1,0,-61.985374,-14.930469
1,0,44.07281,38.629528
1,0,42.839993,44.10042
1,0,49.394794,-3.9789867
1,0,39.243607,-2.0936847
1,0,-7.153799,23.6954
1,0,-6.5259957,24.47271
1,0,-18.022947,-72.31008
1,0,6.226366,-27.497076
1,0,11.39687,-40.962624
1,0,51.902557,4.579622
1,0,-12.116782,12.358287
1,0,42.877926,44.01609
1,0,22.686707,87.45097
1,0,-61.941544,-32.16607
1,0,71.69088,15.911571
1,0,57.924023,34.084496
1,0,21.69167,22.75206
1,0,14.4333725,44.92947
1,0,-4.350317,25.41759
1,0,-11.7233515,-25.180664
1,0,77.12963,14.503854
1,0,21.883183,87.97145
1,0,-19.684242,20.577646
1,0,56.689846,-13.694436
1,0,1.2322822,-23.798553
1,0,-61.581673,-9.569084
1,0,-65.00178,-12.4388685
1,0,-4.9407964,19.986698
1,0,54.76781,26.949783
1,0,57.9586,35.208878
1,0,47.787945,7.186841
1,0,41.40985,38.461372
1,0,42.136765,43.527023
1,0,47.760857,21.894217
1,0,-0.3988966,3.5439792
1,0,-17.88735,55.964848
1,0,76.20631,9.331884
1,0,87.66038,-4.3687305
1,0,-1.6538922,67.632385
1,0,-15.7897835,9.279113
1,0,-61.96852,-14.830704
1,0,50.4542,36.67434
1,0,60.855034,24.402308
1,0,19.077496,87.56841
1,0,74.13527,14.073944
1,0,2.033871,62.472115
1,0,12.884823,85.51253
1,0,11.877208,82.50349
1,0,2.3592923,1.9404559
1,0,19.506264,-53.703487
1,0,52.60029,3.2587175
1,0,47.534195,6.786025
1,0,88.40922,-8.882464
1,0,16.82553,21.417654
1,0,-0.79770046,66.87019
1,0,20.50536,23.258297
1,0,-45.07369,-32.913166
1,0,9.914028,89.528404
1,0,18.921543,87.54847
1,0,40.047142,1.6567515
1,0,-12.193429,7.7901278
1,0,-66.29843,-25.599125
1,0,50.333126,35.885944
1,0,57.913307,35.14383
1,0,76.58318,15.980445
1,0,34.966,-45.375378
1,0,35.420204,2.050244
1,0,2.7949243,-59.18988
1,0,-21.349499,-26.34255
1,0,-6.5988936,65.49669
1,0,48.83554,14.630631
1,0,47.20672,22.734238
1,0,1.2750385,100.01406
1,0,56.887833,-13.559321
1,0,-5.133902,-5.5476365
1,0,38.955555,-20.727533
1,0,74.79517,12.906254
1,0,68.869125,-41.200333
1,0,55.10158,11.329934
1,0,60.409462,24.697544
1,0,39.770588,-10.888267
1,0,44.39773,38.620323
1,0,-65.219315,-25.761509
1,0,35.160416,-4.5251384
1,0,70.78644,11.079737
1,0,38.837738,-8.134064
1,0,60.368694,24.740017
1,0,58.222355,34.25849
1,0,-2.6260815,65.41986
1,0,88.58572,-9.77181
1,0,80.14578,14.187759
1,0,-17.843964,55.90475
1,0,20.673656,19.812122
1,0,76.35425,13.16076
1,0,1.0088152,-18.712513
1,0,-5.5094075,23.15149
1,0,20.524448,87.71121
1,0,-7.623854,-48.430077
1,0,-7.59928,24.753601
1,0,-9.34979,60.67198
1,0,2.3114116,13.8793745
1,0,-16.873363,7.9709315
1,0,51.724674,9.24845
1,0,27.962921,23.494482
1,0,18.907654,87.5464
1,0,75.04846,12.554527
1,0,6.3996434,35.237877
1,0,59.971943,23.080118
1,0,46.935493,26.830656
1,0,11.395714,-40.3707
1,0,72.5264,16.545973
1,0,42.87796,44.016
1,0,42.17529,37.881134
1,0,42.75928,-1.7647752
1,0,1.7883115,97.79557
1,0,61.4839,-26.221878
1,0,-65.08687,-12.053355
1,0,68.03829,-27.853325
1,0,52.721985,26.707083
1,0,67.60816,-39.62399
1,0,21.003891,-22.986717
1,0,-17.5029,-0.056640062
1,0,93.73247,-9.960362
1,0,55.99599,11.635591
1,0,27.248026,37.163223
1,0,6.0788507,-26.12399
1,0,1.6099796,-0.8834943
1,0,62.951923,-47.0981
1,0,75.97232,13.183221
1,0,39.13963,-46.748604
1,0,38.986214,-4.7659087
1,0,35.13861,-0.9061313
1,0,76.30833,9.712073
1,0,50.8474,19.819666
1,0,33.72408,-1.5868276
1,0,-17.861967,55.91924
1,0,57.69843,-12.805885
1,0,44.85507,42.783684
1,0,51.22443,3.1395996
1,0,28.836384,22.117826
1,0,0.13670185,99.9302
1,0,62.849895,39.81288
1,0,-61.45074,-9.574134
1,0,51.313038,4.312838
1,0,43.97179,38.755714
1,0,12.585256,84.32175
1,0,11.797455,84.44657
1,0,15.312257,-67.61064
1,0,11.953921,82.07943
1,0,47.554367,23.22808
1,0,0.9128652,99.32868
1,0,-16.322449,-72.5493
1,0,5.1636515,-31.162573
1,0,48.176743,23.150513
1,0,29.048733,9.4702215
1,0,-3.4734645,-29.767792
1,0,76.25008,9.524756
1,0,75.86507,10.660208
1,0,-2.1649196,-14.350925
1,0,75.17447,18.0199
1,0,17.313135,-34.826653
1,0,-12.937364,30.146376
1,0,-62.574898,-33.344223
1,0,-15.697626,9.372403
1,0,43.978107,38.646355
1,0,42.222992,43.17279
1,0,36.686092,5.0044684
1,0,13.4151745,-70.94593
1,0,28.165644,-52.757683
1,0,37.109943,5.2539353
1,0,-17.858452,19.891739
1,0,-15.986681,8.432298
1,0,-66.2986,-25.598341
1,0,21.737627,-11.669944
1,1,10.684147,-29.484505
1,0,-66.6367,24.720636
1,0,38.14162,-17.371027
1,0,33.55647,-11.903753
1,0,1.5121783,2.0488694
1,0,9.213252,-39.60493
1,0,35.66634,-35.44501
1,0,-8.260432,33.680084
1,0,-45.821037,-27.808315
1,0,0.37658274,62.977345
1,0,3.612068,68.75985
1,0,75.6898,12.1345415
1,0,11.384099,-41.015656
1,0,46.88845,6.877597
1,0,93.56771,-9.884711
1,0,22.983126,87.91909
1,0,-5.511176,23.167927
1,0,2.6562963,1.7857695
1,0,-39.55309,-1.083072
1,0,44.92681,3.9906888
