Sweep,Variation,Static_Val_Pooled_F1_mean,Static_Val_Pooled_F1_std,Static_Val_Pooled_PRAUC_mean,Static_Val_Pooled_PRAUC_std,Static_Val_Macro_F1_mean,Static_Val_Macro_F1_std,Static_Val_Macro_PRAUC_mean,Static_Val_Macro_PRAUC_std,Static_OOT_Pooled_F1_mean,Static_OOT_Pooled_F1_std,Static_OOT_Pooled_PRAUC_mean,Static_OOT_Pooled_PRAUC_std,Static_OOT_Macro_F1_mean,Static_OOT_Macro_F1_std,Static_OOT_Macro_PRAUC_mean,Static_OOT_Macro_PRAUC_std,WF_Pooled_F1_mean,WF_Pooled_F1_std,WF_Pooled_PRAUC_mean,WF_Pooled_PRAUC_std,WF_Macro_F1_mean,WF_Macro_F1_std,WF_Macro_PRAUC_mean,WF_Macro_PRAUC_std,WF_Pre43_Pooled_F1_mean,WF_Pre43_Pooled_F1_std,WF_Pre43_PRAUC_mean,WF_Pre43_PRAUC_std,WF_Shock_F1_mean,WF_Shock_F1_std,WF_Shock_PRAUC_mean,WF_Shock_PRAUC_std,WF_Recovery_Pooled_F1_mean,WF_Recovery_Pooled_F1_std,WF_Recovery_PRAUC_mean,WF_Recovery_PRAUC_std,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6856,,0.7035,,0.4412,,0.4989,,0.7612,,0.8032,,0.0,,0.032,,0.2731,,0.097,,Decay Multiscale (141-dim),2,True,False,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.7163,,0.6734,,0.4644,,0.4824,,0.8036,,0.7702,,0.0,,0.0311,,0.2437,,0.0797,,Decay Multiscale (501-dim),2,True,False,early,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.692,,0.6622,,0.465,,0.5129,,0.7789,,0.7532,,0.0,,0.0296,,0.2712,,0.108,,Decay Multiscale (1155-dim),2,True,True,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=T, Topo=late",Base,,,,,,,,,,,,,,,,,0.7061,,0.7144,,0.4497,,0.4924,,0.7815,,0.812,,0.0,,0.0349,,0.2435,,0.1006,,Decay Multiscale (1157-dim),2,True,True,late,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6816,,0.7242,,0.4405,,0.4977,,0.7729,,0.8228,,0.0,,0.0485,,0.2105,,0.1044,,Decay Multiscale (144-dim),3,True,False,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=F, Topo=late",Base,,,,,,,,,,,,,,,,,0.6616,,0.7421,,0.4615,,0.5119,,0.8079,,0.8405,,0.0,,0.0412,,0.127,,0.1048,,Decay Multiscale (662-dim),3,True,False,late,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.6251,,0.7068,,0.4289,,0.4707,,0.7557,,0.8132,,0.0,,0.0364,,0.2021,,0.0767,,Decay Multiscale (1650-dim),3,True,True,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6622,,0.6958,,0.4646,,0.5238,,0.7328,,0.7974,,0.0667,,0.0577,,0.3567,,0.1091,,Decay Multiscale (262-dim),3,True,True,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=early",Base,,,,,,,,,,,,,,,,,0.6808,,0.7039,,0.4472,,0.4772,,0.7536,,0.8069,,0.0,,0.0309,,0.3588,,0.0899,,Decay Multiscale (1670-dim),3,True,True,early,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=late",PCA,,,,,,,,,,,,,,,,,0.6402,,0.6876,,0.4364,,0.4724,,0.7277,,0.786,,0.2143,,0.177,,0.2036,,0.0757,,Decay Multiscale (263-dim),3,True,True,late,0.05,epsilon-fallback
