Sweep,Tau,F1_mean,F1_std,PRAUC_mean,PRAUC_std,PRAUC
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",35,0.8201,,0.7766,,0.7766
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",36,0.5,,0.552,,0.552
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",37,0.5797,,0.7807,,0.7807
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",38,0.7726,,0.9588,,0.9588
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",39,0.5614,,0.8515,,0.8515
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",40,0.6772,,0.7216,,0.7216
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",41,0.839,,0.8885,,0.8885
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",42,0.8211,,0.8411,,0.8411
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",43,0.0,,0.032,,0.032
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",44,0.08,,0.0298,,0.0298
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",45,0.1818,,0.1069,,0.1069
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",46,0.0,,0.0508,,0.0508
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",47,0.0,,0.1167,,0.1167
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",48,0.4103,,0.3663,,0.3663
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",49,0.375,,0.4103,,0.4103
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",35,0.7873,,0.6595,,0.6595
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",36,0.4792,,0.3232,,0.3232
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",37,0.6471,,0.7939,,0.7939
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",38,0.9004,,0.9449,,0.9449
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",39,0.8816,,0.9186,,0.9186
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",40,0.734,,0.7831,,0.7831
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",41,0.8978,,0.9329,,0.9329
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",42,0.8184,,0.8844,,0.8844
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",43,0.0,,0.0311,,0.0311
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",44,0.0385,,0.0689,,0.0689
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",45,0.0,,0.015,,0.015
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",46,0.0,,0.0062,,0.0062
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",47,0.0,,0.0554,,0.0554
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",48,0.3562,,0.3291,,0.3291
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",49,0.4255,,0.4905,,0.4905
"Ablation: Decay λ=0.05 on Grid: K=2, Dir=T, Topo=None",35,0.7452,,0.546,,0.546
