Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,0,0.020120412520356012,0.08791208791208792,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,1,0.01703616132966501,0.07992007992007992,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,2,0.07222871787002061,0.006993006993006993,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,3,0.07658689896990434,0.001998001998001998,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,4,0.0026188730059053533,0.33166833166833165,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,5,0.016444007751873935,0.08491508491508491,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,6,-0.010637292127458231,0.8641358641358642,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,7,0.04673272627219682,0.008991008991008992,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,8,0.034196674489436196,0.007992007992007992,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,1,17,17,9,0.026452154373709735,0.03896103896103896,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,0,0.06697165632247915,0.001998001998001998,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,1,0.005175239000146936,0.27972027972027974,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,2,0.08818368193867143,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,3,0.047339898011247605,0.005994005994005994,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,4,0.04738503752696399,0.006993006993006993,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,5,0.05960625505737571,0.001998001998001998,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,6,0.039912563252929134,0.008991008991008992,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,7,0.09401384769023746,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,8,0.06827997646884731,0.001998001998001998,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,2,18,18,9,0.07286072979266245,0.003996003996003996,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,0,-0.01188485301177522,0.7822177822177823,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,1,0.02096353870323142,0.17682317682317683,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,2,0.011549005762621523,0.1968031968031968,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,3,0.03450223170165545,0.059940059940059943,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,4,0.0019429772120755917,0.40559440559440557,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,5,0.008811110827690483,0.2647352647352647,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,6,0.014488641312979667,0.18581418581418582,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,7,0.00743506028105001,0.25774225774225773,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,8,0.008525496224708107,0.29270729270729273,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,3,11,11,9,0.02134722781895082,0.13986013986013987,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,4,30,30,0,0.02700710184499311,0.001998001998001998,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,4,30,30,1,0.03746994568042328,0.002997002997002997,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,4,30,30,2,0.029158747622908487,0.001998001998001998,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,4,30,30,3,0.02128347171504963,0.00999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,4,30,30,4,0.01360422397095995,0.030969030969030968,1,0
