Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,Base,Baseline: IsolationForest (166),N/A,N/A,False,False,None,N/A,0.5,0.003,71.63,N/A,N/A,N/A,N/A,0.0,0.038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,Baseline: XGBoost WF (epsilon-fallback),Raw-165 (no ts),N/A,False,False,None,N/A,local-quantile,2.877,0.2,0.954,0.987,0.934,0.976,0.765,0.79,0.475,0.563,N/A,N/A,0.834,0.89,0.634,0.713,0.902,0.937,0.0,0.249,0.472,0.534,fixed,
42,Base,Baseline: RandomForest (166),N/A,N/A,False,False,None,N/A,0.5,6.748,2.29,0.962,0.988,0.949,0.985,0.777,0.783,0.479,0.556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,Baseline: Logistic Regression (166),N/A,N/A,False,False,None,N/A,0.5,0.197,1.07,0.587,0.637,0.563,0.65,0.228,0.191,0.241,0.237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,Baseline: PyG GCN (2-layer),N/A,N/A,False,False,None,N/A,0.5,170.093,2.04,0.784,0.831,0.756,0.787,0.345,0.412,0.208,0.348,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,Baseline: IsolationForest (166),N/A,N/A,False,False,None,N/A,0.5,0.005,71.63,N/A,N/A,N/A,N/A,0.0,0.037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,Baseline: XGBoost WF (epsilon-fallback),Raw-165 (no ts),N/A,False,False,None,N/A,local-quantile,2.879,0.19,0.954,0.987,0.934,0.976,0.765,0.79,0.475,0.563,N/A,N/A,0.834,0.89,0.634,0.713,0.902,0.937,0.0,0.249,0.472,0.534,fixed,
43,Base,Baseline: RandomForest (166),N/A,N/A,False,False,None,N/A,0.5,6.934,2.29,0.957,0.988,0.946,0.986,0.778,0.784,0.472,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,Baseline: Logistic Regression (166),N/A,N/A,False,False,None,N/A,0.5,0.192,1.07,0.587,0.637,0.563,0.65,0.228,0.191,0.241,0.237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,Baseline: PyG GCN (2-layer),N/A,N/A,False,False,None,N/A,0.5,173.763,1.85,0.784,0.831,0.756,0.787,0.345,0.412,0.208,0.348,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
