Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,1,0,0,800,,,,,,,,,0.0032175779342651367,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,2,0,0,800,,,,,,,,,0.0075234174728393555,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,3,0,0,800,,,,,,,,,0.019518375396728516,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,4,0,0,800,,,,,,,,,0.011837482452392578,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,5,0,0,800,,,,,,,,,0.024969935417175293,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,6,0,0,800,,,,,,,,,0.025382161140441895,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,7,0,0,800,,,,,,,,,0.009120941162109375,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,8,0,0,800,,,,,,,,,0.009127974510192871,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,9,0,0,800,,,,,,,,,0.006780505180358887,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,10,0,0,800,,,,,,,,,0.00638580322265625,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,11,0,0,800,,,,,,,,,0.010514020919799805,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,12,0,0,800,,,,,,,,,0.012589693069458008,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,13,0,0,800,,,,,,,,,0.008498907089233398,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,14,0,0,800,,,,,,,,,0.005727410316467285,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,15,0,0,800,,,,,,,,,0.0018932819366455078,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,16,0,0,800,,,,,,,,,0.016949892044067383,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,17,0,0,800,,,,,,,,,0.010509848594665527,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,18,0,0,800,,,,,,,,,0.015640974044799805,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,19,0,0,800,,,,,,,,,0.008740663528442383,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,20,0,0,800,,,,,,,,,0.005200743675231934,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,21,0,0,800,,,,,,,,,0.015622973442077637,0
