Sweep,Seed,Tau,N_labeled,N_illicit,N_licit,Low_Confidence,Regime,Train_Window_Size,Calib_Threshold,Calib_Fallback,F1,PRAUC,Precision,Recall,Selfcond_Bug,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Variation
Baseline: XGBoost WF (epsilon-fallback),42,35,1341,182,1159,False,pre_shock,33,0.3,False,0.9443,0.9936,0.9128,0.978,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,36,1708,33,1675,False,pre_shock,34,0.9654,False,0.9688,0.9966,1.0,0.9394,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,37,498,40,458,False,pre_shock,35,0.9356,False,0.7879,0.9203,1.0,0.65,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,38,756,111,645,False,pre_shock,36,0.0488,False,0.9439,0.9587,0.9806,0.9099,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,39,1183,81,1102,False,pre_shock,37,0.6086,False,0.898,0.9684,1.0,0.8148,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,40,1211,112,1099,False,pre_shock,38,0.2672,False,0.77,0.7896,0.875,0.6875,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,41,1132,116,1016,False,pre_shock,39,0.6414,False,0.96,0.9696,0.9908,0.931,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,42,2154,239,1915,False,pre_shock,40,0.7291,False,0.8843,0.9286,0.9896,0.7992,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,43,1370,24,1346,False,shock,41,0.5534,False,0.0,0.2487,0.0,0.0,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,44,1591,24,1567,False,recovery,42,0.0433,False,0.303,0.2124,0.2381,0.4167,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,45,1221,5,1216,True,recovery,43,0.0994,False,0.1111,0.0587,0.0769,0.2,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,46,712,2,710,True,recovery,44,0.0679,True,0.4,0.5233,0.3333,0.5,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,47,846,22,824,False,recovery,45,0.1597,True,0.3529,0.5176,0.5,0.2727,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,48,471,36,435,False,recovery,46,0.0385,False,0.4643,0.6128,0.65,0.3611,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baseline: XGBoost WF (epsilon-fallback),42,49,476,56,420,False,recovery,47,0.2217,False,0.7273,0.9909,1.0,0.5714,fixed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,35,1341,182,1159,False,pre_shock,33,0.8403,False,0.6043,0.5638,0.5362,0.6923,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,36,1708,33,1675,False,pre_shock,34,0.795,False,0.0963,0.0564,0.0584,0.2727,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,37,498,40,458,False,pre_shock,35,0.851,False,0.3896,0.4123,0.4054,0.375,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,38,756,111,645,False,pre_shock,36,0.6935,False,0.6154,0.559,0.4894,0.8288,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,39,1183,81,1102,False,pre_shock,37,0.7115,False,0.3831,0.2845,0.2778,0.6173,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,40,1211,112,1099,False,pre_shock,38,0.6804,False,0.4481,0.392,0.4186,0.4821,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,41,1132,116,1016,False,pre_shock,39,0.7718,False,0.4783,0.4316,0.4125,0.569,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,42,2154,239,1915,False,pre_shock,40,0.833,False,0.6968,0.6832,0.7168,0.6778,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,43,1370,24,1346,False,shock,41,0.8107,False,0.0101,0.0157,0.0057,0.0417,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,44,1591,24,1567,False,recovery,42,0.1023,False,0.0373,0.0561,0.019,0.9167,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,45,1221,5,1216,True,recovery,43,0.9992,False,0.0,0.0152,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,46,712,2,710,True,recovery,44,0.8911,True,0.1429,0.5147,0.0833,0.5,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,47,846,22,824,False,recovery,45,0.9984,True,0.0,0.04,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,48,471,36,435,False,recovery,46,0.0856,False,0.4023,0.3538,0.2536,0.9722,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",42,49,476,56,420,False,recovery,47,0.2466,False,0.255,0.241,0.2043,0.3393,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,35,1341,182,1159,False,pre_shock,33,0.8785,False,0.5,0.521,0.5616,0.4505,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,36,1708,33,1675,False,pre_shock,34,0.8087,False,0.0816,0.0471,0.0526,0.1818,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,37,498,40,458,False,pre_shock,35,0.8742,False,0.2857,0.3482,0.3333,0.25,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,38,756,111,645,False,pre_shock,36,0.6301,False,0.5843,0.4804,0.4389,0.8739,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,39,1183,81,1102,False,pre_shock,37,0.6696,False,0.3252,0.2585,0.2424,0.4938,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,40,1211,112,1099,False,pre_shock,38,0.5769,False,0.4238,0.3538,0.3631,0.5089,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,41,1132,116,1016,False,pre_shock,39,0.6779,False,0.4828,0.3991,0.3793,0.6638,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,42,2154,239,1915,False,pre_shock,40,0.7276,False,0.668,0.6969,0.6364,0.7029,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,43,1370,24,1346,False,shock,41,0.7569,False,0.0098,0.0156,0.0056,0.0417,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,44,1591,24,1567,False,recovery,42,0.0675,False,0.0378,0.0579,0.0193,1.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,45,1221,5,1216,True,recovery,43,0.9452,False,0.0,0.044,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,46,712,2,710,True,recovery,44,0.829,True,0.1053,0.2667,0.0588,0.5,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,47,846,22,824,False,recovery,45,0.9946,True,0.0,0.0359,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,48,471,36,435,False,recovery,46,0.1184,False,0.3736,0.3396,0.2329,0.9444,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",42,49,476,56,420,False,recovery,47,0.3189,False,0.1186,0.2205,0.1129,0.125,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,35,1341,182,1159,False,pre_shock,33,0.7516,False,0.6175,0.5675,0.4844,0.8516,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,36,1708,33,1675,False,pre_shock,34,0.7504,False,0.0865,0.0554,0.0514,0.2727,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,37,498,40,458,False,pre_shock,35,0.8976,False,0.3824,0.4109,0.4643,0.325,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,38,756,111,645,False,pre_shock,36,0.7035,False,0.62,0.5723,0.4921,0.8378,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,39,1183,81,1102,False,pre_shock,37,0.7111,False,0.4061,0.2959,0.2944,0.6543,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,40,1211,112,1099,False,pre_shock,38,0.743,False,0.4608,0.4009,0.4762,0.4464,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,41,1132,116,1016,False,pre_shock,39,0.7758,False,0.5585,0.4995,0.4966,0.6379,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,42,2154,239,1915,False,pre_shock,40,0.8007,False,0.7042,0.703,0.7012,0.7071,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,43,1370,24,1346,False,shock,41,0.7851,False,0.0161,0.0151,0.0089,0.0833,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,44,1591,24,1567,False,recovery,42,0.1027,False,0.0361,0.0559,0.0185,0.875,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,45,1221,5,1216,True,recovery,43,0.9998,False,0.0,0.0182,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,46,712,2,710,True,recovery,44,0.8899,True,0.1538,0.1808,0.0909,0.5,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,47,846,22,824,False,recovery,45,0.998,True,0.0,0.0418,0.0,0.0,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,48,471,36,435,False,recovery,46,0.0861,False,0.3626,0.3334,0.226,0.9167,fixed,,,,,,,
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",42,49,476,56,420,False,recovery,47,0.2269,False,0.2278,0.2115,0.1765,0.3214,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,35,1341,182,1159,False,pre_shock,33,0.3192,False,0.776,0.8314,0.7376,0.8187,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,36,1708,33,1675,False,pre_shock,34,0.4725,False,0.3509,0.2736,0.4167,0.303,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,37,498,40,458,False,pre_shock,35,0.919,False,0.5862,0.7658,0.9444,0.425,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,38,756,111,645,False,pre_shock,36,0.302,False,0.8053,0.8333,0.7913,0.8198,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,39,1183,81,1102,False,pre_shock,37,0.6344,False,0.7636,0.8198,0.75,0.7778,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,40,1211,112,1099,False,pre_shock,38,0.8083,False,0.5731,0.6191,0.8305,0.4375,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,41,1132,116,1016,False,pre_shock,39,0.8921,False,0.7885,0.8493,0.8913,0.7069,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,42,2154,239,1915,False,pre_shock,40,0.8884,False,0.7423,0.8068,0.8533,0.6569,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,43,1370,24,1346,False,shock,41,0.5547,False,0.0132,0.0168,0.0078,0.0417,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,44,1591,24,1567,False,recovery,42,0.0196,False,0.041,0.0193,0.0219,0.3333,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,45,1221,5,1216,True,recovery,43,0.3814,False,0.0,0.0079,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,46,712,2,710,True,recovery,44,0.4251,True,0.0909,0.0413,0.05,0.5,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,47,846,22,824,False,recovery,45,0.9817,True,0.0,0.0668,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,48,471,36,435,False,recovery,46,0.2347,False,0.3492,0.3654,0.4074,0.3056,fixed,,,,,,,
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",42,49,476,56,420,False,recovery,47,0.0917,False,0.2449,0.3865,0.2857,0.2143,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,35,1341,182,1159,False,pre_shock,33,0.7705,False,0.7844,0.8738,0.8618,0.7198,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,36,1708,33,1675,False,pre_shock,34,0.5705,False,0.2424,0.2326,0.2424,0.2424,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,37,498,40,458,False,pre_shock,35,0.92,False,0.4516,0.5168,0.6364,0.35,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,38,756,111,645,False,pre_shock,36,0.304,False,0.7592,0.7827,0.694,0.8378,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,39,1183,81,1102,False,pre_shock,37,0.2766,False,0.6854,0.7081,0.6289,0.7531,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,40,1211,112,1099,False,pre_shock,38,0.7961,False,0.4659,0.5547,0.6406,0.3661,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,41,1132,116,1016,False,pre_shock,39,0.5463,False,0.7094,0.8039,0.7034,0.7155,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,42,2154,239,1915,False,pre_shock,40,0.8323,False,0.7586,0.8146,0.9222,0.6444,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,43,1370,24,1346,False,shock,41,0.6699,False,0.0,0.0237,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,44,1591,24,1567,False,recovery,42,0.1114,False,0.0175,0.026,0.0111,0.0417,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,45,1221,5,1216,True,recovery,43,0.7871,False,0.0,0.0153,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,46,712,2,710,True,recovery,44,0.6013,True,0.0,0.0036,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,47,846,22,824,False,recovery,45,0.9595,True,0.0,0.042,0.0,0.0,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,48,471,36,435,False,recovery,46,0.0301,False,0.5243,0.3355,0.403,0.75,fixed,,,,,,,
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",42,49,476,56,420,False,recovery,47,0.0372,False,0.6512,0.4764,0.5753,0.75,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,35,1341,182,1159,False,pre_shock,33,0.1875,False,0.7876,0.7843,0.6962,0.9066,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,36,1708,33,1675,False,pre_shock,34,0.9896,False,0.6957,0.6768,0.6667,0.7273,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,37,498,40,458,False,pre_shock,35,0.932,False,0.623,0.7927,0.9048,0.475,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,38,756,111,645,False,pre_shock,36,0.435,False,0.8991,0.9128,0.9159,0.8829,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,39,1183,81,1102,False,pre_shock,37,0.2942,False,0.8188,0.8872,0.8971,0.7531,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,40,1211,112,1099,False,pre_shock,38,0.7987,False,0.7374,0.7667,0.8488,0.6518,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,41,1132,116,1016,False,pre_shock,39,0.5648,False,0.9021,0.9424,0.8908,0.9138,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,42,2154,239,1915,False,pre_shock,40,0.9211,False,0.8227,0.8182,0.9005,0.7573,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,43,1370,24,1346,False,shock,41,0.7297,False,0.0,0.0368,0.0,0.0,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,44,1591,24,1567,False,recovery,42,0.1258,False,0.0421,0.0325,0.023,0.25,fixed,,,,,,,
"WF Champion: Grid: K=2, Dir=F, Topo=early",42,45,1221,5,1216,True,recovery,43,0.9944,False,0.0,0.0146,0.0,0.0,fixed,,,,,,,
